date,txVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),generatedCoins,fees
18-06-2015,0,698,4092280,0.50388,18521,14270.74618,56.18623018
19-06-2015,0,619,4107130,0.511796,36206,13593.7432,47.6284232
20-06-2015,0,569,4197910,0.53798,46906,14600.89012,27.59542409
21-06-2015,0,464,4396240,0.523274,20026,14095.28181,27.26591574
22-06-2015,0,553,4310580,0.540599,24145,13875.58862,27.1761452
23-06-2015,0,569,4436020,0.526921,34151,13944.33323,31.69357902
24-06-2015,0,529,4331280,0.506506,30722,13558.3434,33.8905954
25-06-2015,0,510,4194070,0.503678,20286,13836.42795,26.3421715
26-06-2015,0,561,4153430,0.484247,27929,14168.4445,30.54926754
27-06-2015,0,575,3992970,0.491951,25068,13916.9566,26.1468847
28-06-2015,0,395,4054450,0.470636,35450,14334.21949,24.98281042
29-06-2015,0,618,3893490,0.493447,38116,13366.01408,29.11365931
30-06-2015,0,550,4097860,0.500266,20586,14158.71517,35.59340803
01-07-2015,0,510,4152950,0.498848,16986,13455.84976,24.15427538
02-07-2015,0,491,4156770,0.492605,23017,13733.26062,27.02917773
03-07-2015,0,549,4111000,0.491196,19161,13684.76931,34.21859775
04-07-2015,0,536,4114420,0.507361,9823,13793.02393,29.44450627
05-07-2015,0,447,4244470,0.521969,21263,13813.7354,22.3801719
06-07-2015,0,491,4378680,0.505507,33776,13621.87608,21.65143871
07-07-2015,0,529,4260280,0.512376,15739,13755.64813,32.27318496
08-07-2015,0,458,4302200,0.51399,19413,13481.85861,21.73964789
09-07-2015,0,569,4333650,0.497226,32530,13760.88586,38.97963362
10-07-2015,0,419,4099850,0.520876,31812,13682.07799,24.32913556
11-07-2015,0,603,4388740,0.539175,18728,13500.63807,29.94551069
12-07-2015,0,589,4545280,0.628094,66012,14083.39564,40.44307332
13-07-2015,0,494,5323920,0.572132,17500,13539.26801,29.88876199
14-07-2015,0,573,4819400,0.570033,13521,13510.83865,31.88637839
15-07-2015,0,481,4789930,0.541855,20021,13539.94333,23.17878636
16-07-2015,0,478,4613990,0.536325,13229,13615.76173,24.99855391
17-07-2015,0,489,4577990,0.535182,10526,13561.13611,24.12052145
18-07-2015,0,358,4575510,0.523595,15685,12855.04741,17.93923446
19-07-2015,0,594,4521330,0.537989,15024,13232.12698,27.01179806
20-07-2015,0,445,4621200,0.547709,22420,13541.6524,27.33681152
21-07-2015,0,606,4715320,0.587578,44363,13555.03041,42.8855019
22-07-2015,0,520,5048500,0.57342,28612,13316.88817,41.55080114
23-07-2015,0,610,4939510,0.570335,36815,13911.11807,40.16650915
24-07-2015,0,501,4888280,0.576016,17108,13639.47855,24.63233879
25-07-2015,0,428,4977960,0.566003,28011,13647.89948,24.67607676
26-07-2015,0,480,4928700,0.584723,19209,12916.10148,28.10407457
27-07-2015,0,603,5034590,0.59605,18318,13488.67258,52.86712179
28-07-2015,0,544,5175100,0.615015,31583,13499.26133,33.15994547
29-07-2015,0,614,5357820,0.589967,23624,13050.43013,44.98900622
30-07-2015,0,543,5137850,0.583228,18356,13526.36763,43.35417279
31-07-2015,0,554,5084350,0.574956,17852,12757.57662,42.22768065
01-08-2015,0,508,5018000,0.588741,47982,13304.65206,40.38933163
02-08-2015,0,467,5149630,0.624904,58236,13491.92123,35.52125932
03-08-2015,0,680,5484180,0.595818,41078,13091.22828,64.85227892
04-08-2015,0,580,5221610,0.618406,23130,13258.73647,38.13364841
05-08-2015,0,470,5426410,0.618616,31532,12981.30867,35.35855833
06-08-2015,0,616,5416470,0.729102,179684,12789.88784,46.1984766
07-08-2015,0,800,6425560,0.742292,128615,13032.14189,75.95930019
08-08-2015,0,711,6557890,0.676046,58680,13166.91929,55.7585074
09-08-2015,0,551,5976810,0.674739,101826,13140.39549,44.05070227
10-08-2015,0,585,6080090,0.656576,33307,13161.05011,52.85904999
11-08-2015,0,429,5823060,0.603582,69221,12962.52396,27.43412453
12-08-2015,0,601,5361380,0.622923,51925,13137.6888,54.25884247
13-08-2015,0,466,5474580,0.575855,51260,13271.50473,39.38177563
14-08-2015,0,537,5130060,0.609906,49540,13227.34139,44.49158364
15-08-2015,0,362,5453670,0.613236,49051,12719.4731,20.58427759
16-08-2015,0,487,5478570,0.620167,64263,12753.10515,36.87899904
17-08-2015,0,706,5544840,0.610122,45312,12778.03222,53.12168929
18-08-2015,0,641,5466910,0.493284,32718,13055.51401,31.60693506
19-08-2015,0,540,4378560,0.534101,35406,13229.23458,26.73480332
20-08-2015,0,448,4861220,0.597797,69637,12551.88919,19.91709272
21-08-2015,0,473,5385120,0.568307,40345,12435.56233,25.4764702
22-08-2015,0,580,5115700,0.553084,22258,13667.45127,32.52662819
23-08-2015,0,377,4988090,0.544585,31062,12711.43353,24.77097144
24-08-2015,0,409,4901250,0.434871,77454,12493.02704,20.48334978
25-08-2015,0,553,3918090,0.490286,32249,12959.5788,29.64132683
26-08-2015,0,514,4440300,0.496679,18296,12439.12166,28.32912517
27-08-2015,0,439,4500310,0.465475,22233,13129.23916,29.51235167
28-08-2015,0,480,4227600,0.481627,24895,12611.33558,23.64424395
29-08-2015,0,419,4337790,0.47655,30004,12718.57225,28.1447558
30-08-2015,0,418,4341760,0.459009,19851,12783.24741,19.49831547
31-08-2015,0,582,4250620,0.467238,20464,12668.35531,22.58321619
01-09-2015,0,617,4269290,0.458517,13804,12672.47018,32.72141642
02-09-2015,0,684,4185830,0.468083,17633,12226.25855,37.4387041
03-09-2015,0,644,4293320,0.45929,26802,12997.92805,35.05182677
04-09-2015,0,645,4216670,0.467874,19213,12708.16245,53.08041721
05-09-2015,0,447,4326210,0.481594,25003,12342.93753,25.03920041
06-09-2015,0,507,4430410,0.505111,20838,12511.40765,22.74217437
07-09-2015,0,427,4653130,0.499452,14904,12218.22254,24.8626368
08-09-2015,0,513,4600200,0.517402,23332,12936.42421,22.56658135
09-09-2015,0,441,4776830,0.506011,46479,13101.85445,20.39516965
10-09-2015,0,474,4682800,0.497247,19215,12099.08678,27.77227168
11-09-2015,0,499,4604850,0.495325,25292,12504.16033,26.98188817
12-09-2015,0,404,4592370,0.465473,21998,12459.70237,29.85941917
13-09-2015,0,389,4317610,0.462865,18133,12376.65647,20.13839679
14-09-2015,0,565,4264430,0.482289,61609,12218.82675,25.05433927
15-09-2015,0,641,4502900,0.502379,40322,12383.15151,29.31510677
16-09-2015,0,553,4682750,0.509974,42561,12550.0224,32.78848146
17-09-2015,0,481,4762110,0.494782,63098,12223.43394,37.54807862
18-09-2015,0,559,4626560,0.50044,12727,12298.96123,27.37549002
19-09-2015,0,519,4666030,0.496418,13090,12201.47918,29.81559112
20-09-2015,0,479,4672440,0.485971,23345,12397.39281,25.28544786
21-09-2015,0,358,4581520,0.480452,10323,12665.42532,21.57374644
22-09-2015,0,525,4520690,0.471829,20004,12259.17527,24.3353886
23-09-2015,0,465,4397630,0.464606,26708,12097.40822,22.47857206
24-09-2015,0,515,4377470,0.468678,16085,12422.23699,25.12942424
25-09-2015,0,468,4436980,0.451515,72674,11898.21628,26.02643356
26-09-2015,0,547,4285200,0.445105,39062,12371.05834,28.38931714
27-09-2015,0,543,4209850,0.43771,15986,12355.91459,30.58280576
28-09-2015,0,527,4176170,0.448998,22851,12261.40858,24.1769373
29-09-2015,0,455,4259180,0.435817,18912,12055.46457,27.56834296
30-09-2015,0,490,4154530,0.399882,91652,12306.27459,25.04122296
01-10-2015,0,557,3813330,0.404696,27172,12273.10692,31.08599039
02-10-2015,0,391,3858300,0.409897,24588,11865.82636,23.05726201
03-10-2015,0,614,3902290,0.409928,15752,11915.09321,28.80998905
04-10-2015,0,439,3910740,0.400312,7905,12267.19215,19.84443774
05-10-2015,0,503,3824600,0.416151,17443,11491.0693,29.95212837
06-10-2015,0,437,3971950,0.411378,13031,12207.96518,23.85448448
07-10-2015,0,464,3935680,0.393186,19953,11904.4093,23.16403798
08-10-2015,0,548,3773330,0.387872,28191,12476.18277,34.35619442
09-10-2015,0,567,3741360,0.397329,20221,12299.17351,31.63209549
10-10-2015,0,434,3794300,0.387789,12722,11908.58817,36.79035851
11-10-2015,0,385,3733480,0.380724,33411,12007.86816,19.36729511
12-10-2015,0,635,3666600,0.395317,17245,11442.72489,47.38526756
13-10-2015,0,450,3827290,0.388015,20881,12191.6665,25.23490645
14-10-2015,0,444,3755190,0.384266,20717,12042.36517,21.24270118
15-10-2015,0,497,3710570,0.390841,26749,11847.1307,37.822365
16-10-2015,0,464,3812460,0.411511,35622,11692.59255,28.88620068
17-10-2015,0,424,3999330,0.426942,25424,12044.13819,21.73229864
18-10-2015,0,473,4138260,0.409797,10726,11769.55522,22.5880564
19-10-2015,0,492,3985030,0.403212,30649,12019.34951,24.40442116
20-10-2015,0,551,3865110,0.399646,36344,11577.8764,29.8459786
21-10-2015,0,484,3907320,0.394597,21249,11654.53988,25.81172034
22-10-2015,0,520,3852920,0.403236,14927,12276.99576,29.6343626
23-10-2015,0,545,3942040,0.393922,23478,11278.52578,39.21730429
24-10-2015,0,533,3834210,0.395808,21783,12314.59682,34.03491827
25-10-2015,0,434,3875360,0.407067,28219,11788.23599,22.91549057
26-10-2015,0,424,3999670,0.38796,20914,11927.74691,31.78958035
27-10-2015,0,724,3838270,0.409574,23061,11448.24343,35.1505046
28-10-2015,0,441,4037860,0.448829,41102,11969.153,34.90024479
29-10-2015,0,563,4403050,0.447103,45553,11372.29399,27.46706394
30-10-2015,0,413,4410090,0.456442,66360,11634.61888,27.97141447
31-10-2015,0,501,4463440,0.404538,19924,11415.52418,25.12257259
01-11-2015,0,420,3974440,0.423505,27614,11662.18835,38.65954396
02-11-2015,0,584,4184520,0.442886,45683,11596.81464,24.00717622
03-11-2015,0,455,4385640,0.442707,71241,11294.66865,24.73460716
04-11-2015,0,613,4428490,0.505869,81510,11810.94255,32.12379684
05-11-2015,0,545,4981470,0.43253,18894,11123.24247,48.80694421
06-11-2015,0,608,4312520,0.439195,17578,12041.71512,35.15298618
07-11-2015,0,361,4375090,0.452638,15748,11430.15975,21.91628784
08-11-2015,0,399,4501570,0.497654,50506,11455.2829,18.39399883
09-11-2015,0,450,4974750,0.472776,33642,11180.25541,21.72988835
10-11-2015,0,498,4704550,0.460954,30024,11334.42689,27.08541023
11-11-2015,0,551,4571590,0.450299,39549,11682.58393,37.12443576
12-11-2015,0,481,4506870,0.443275,46397,11207.57984,24.99462367
13-11-2015,0,416,4430220,0.452619,25508,11475.40418,18.66781021
14-11-2015,0,370,4508820,0.424853,22033,11251.38487,23.00374029
15-11-2015,0,499,4266860,0.43081,23747,11524.25642,20.0546129
16-11-2015,0,390,4327140,0.435954,15841,11203.94006,21.98349803
17-11-2015,0,538,4386510,0.428999,11601,11277.11695,26.38648158
18-11-2015,0,458,4354230,0.415567,19508,12041.929,26.57199338
19-11-2015,0,460,4191680,0.407052,23986,10942.96299,24.0899637
20-11-2015,0,496,4074550,0.389316,9764,11134.8816,25.85640672
21-11-2015,0,421,3945290,0.391906,29577,11256.152,22.55183319
22-11-2015,0,405,3956810,0.395824,8345,11304.78891,18.91551667
23-11-2015,0,415,4012210,0.391113,7900,11042.50978,22.03891963
24-11-2015,0,393,3963690,0.390148,13449,11441.02291,20.45370169
25-11-2015,0,467,3974460,0.387684,18839,11677.84476,22.106763
26-11-2015,0,391,3933670,0.404663,29751,10942.89365,18.70709229
27-11-2015,0,432,4079510,0.386268,30668,10918.47545,23.84166978
28-11-2015,0,471,3930100,0.39204,14046,11173.31747,26.60194993
29-11-2015,0,424,4001630,0.401147,14276,11488.36449,22.13415426
30-11-2015,0,452,4095740,0.395225,30652,11274.94983,27.06482438
01-12-2015,0,604,4016600,0.376028,20746,10944.68973,40.00664345
02-12-2015,0,492,3846870,0.368688,15544,10924.85883,28.69073074
03-12-2015,0,445,3776240,0.366891,19257,11231.57721,25.06911226
04-12-2015,0,460,3797980,0.370805,22222,10938.92054,26.86594213
05-12-2015,0,477,3815610,0.451304,61840,11450.6047,26.87242563
06-12-2015,0,641,4533980,0.439947,43779,11060.18844,31.20549888
07-12-2015,0,385,4404700,0.421295,29885,11014.22577,27.01314373
08-12-2015,0,604,4335150,0.42936,40491,10983.84857,29.85643026
09-12-2015,0,339,4451310,0.452073,35438,11288.55633,19.83040635
10-12-2015,0,437,4649320,0.431434,22548,11177.75232,24.91544163
11-12-2015,0,441,4448200,0.458294,19202,10325.90899,24.5193723
12-12-2015,0,602,4751070,0.455326,17071,11080.42069,45.62924837
13-12-2015,0,450,4714140,0.465171,28983,10831.07793,30.6468611
14-12-2015,0,465,4910560,0.534761,98330,10463.57459,30.25594252
15-12-2015,0,585,5561680,0.556358,38572,10696.70574,33.12317633
16-12-2015,0,464,5769580,0.518993,27338,10795.57504,28.86580087
17-12-2015,0,453,5394470,0.501231,19565,11343.45305,29.09166755
18-12-2015,0,435,5211360,0.499438,18904,10537.84212,23.4569027
19-12-2015,0,416,5200550,0.471013,23387,11145.0625,23.5715869
20-12-2015,0,340,4930890,0.507456,43384,10976.7848,21.62790613
21-12-2015,0,628,5272120,0.488745,56810,10398.31101,45.1168907
22-12-2015,0,517,5101530,0.480099,25924,11160.75721,33.06034098
23-12-2015,0,479,5007830,0.482244,36501,10481.17226,30.41826344
24-12-2015,0,479,5034380,0.490058,23611,10795.41702,28.35986899
25-12-2015,0,524,5129570,0.484163,9978,10810.90916,29.099399
26-12-2015,0,303,5128550,0.446716,16968,11116.1257,19.80545529
27-12-2015,0,492,4713750,0.451554,16567,10725.86135,40.38141631
28-12-2015,0,539,4752790,0.446928,14727,10517.13932,24.498729
29-12-2015,0,283,4700130,0.45616,14980,10496.94648,19.36537789
30-12-2015,0,646,4806230,0.441028,34389,10622.71661,39.36022373
31-12-2015,0,442,4654080,0.470402,27510,10798.06425,29.16297224
01-01-2016,0,450,4967640,0.497867,88914,10611.64902,26.79920103
02-01-2016,0,489,5264120,0.532668,64901,10687.14514,27.00936989
03-01-2016,0,468,5634660,0.500312,43237,10710.44237,29.22330132
04-01-2016,0,441,5357790,0.517388,29381,10531.64945,24.37101256
05-01-2016,0,755,5482480,0.499272,30449,10464.38761,68.03357844
06-01-2016,0,462,5295000,0.505053,19057,10705.95812,27.92621884
07-01-2016,0,479,5341860,0.492529,47307,10233.02179,31.9791175
08-01-2016,0,444,5209180,0.488417,19424,10841.26068,25.32211594
09-01-2016,0,417,5161200,0.490135,29526,10534.0966,29.9602455
10-01-2016,0,456,5215390,0.488578,31087,10654.44397,25.39711086
11-01-2016,0,553,5237660,0.482049,22051,10651.24581,33.33927775
12-01-2016,0,474,5135940,0.490113,51116,10010.11573,30.43610753
13-01-2016,0,451,5188720,0.484302,43051,11020.61762,26.20493873
14-01-2016,0,401,5186490,0.486483,34524,10075.91889,27.21241827
15-01-2016,0,439,5197330,0.428456,43534,10566.95254,28.9249539
16-01-2016,0,387,4573430,0.496668,38893,10118.91736,28.1930997
17-01-2016,0,406,5351640,0.450774,61136,10561.67466,28.12277647
18-01-2016,0,421,4797500,0.502346,65860,10399.47144,32.60183958
19-01-2016,0,989,5427510,0.545904,91400,10391.82712,110.3361258
20-01-2016,0,587,5842690,0.535095,120678,10094.85405,57.56593359
21-01-2016,0,770,5722620,0.549362,65915,10587.93234,64.92061874
22-01-2016,0,452,5944340,0.536995,66462,10167.24483,38.33426119
23-01-2016,0,545,5787340,0.61602,187212,10652.81659,34.7565421
24-01-2016,0,466,6653740,0.62205,145260,10548.78147,36.44376413
25-01-2016,0,633,6772480,0.581354,74134,10541.52447,47.14285789
26-01-2016,0,488,6303850,0.584982,85768,10069.54671,33.93516205
27-01-2016,0,388,6329330,0.61087,122466,10494.17219,25.40521761
28-01-2016,0,517,6616930,0.563129,50054,10592.10657,37.39158272
29-01-2016,0,530,6127640,0.51825,82072,9879.97152,40.06406027
30-01-2016,0,428,5602610,0.511528,40357,10465.09918,27.97363307
31-01-2016,0,343,5562150,0.483429,43787,9888.18338,20.40546305
01-02-2016,0,423,5291940,0.497962,42354,10163.40465,27.25468989
02-02-2016,0,402,5479010,0.501037,20583,9854.676175,23.78485712
03-02-2016,0,488,5461780,0.491974,26092,10179.44466,39.59501048
04-02-2016,0,401,5397650,0.507164,31220,9799.715441,24.68364879
05-02-2016,0,530,5531990,0.496352,49762,10612.33035,31.52518648
06-02-2016,0,401,5394270,0.480421,35794,9959.524035,25.55409363
07-02-2016,0,379,5295570,0.479407,53520,9973.884717,24.21396858
08-02-2016,0,636,5235370,0.481636,30834,10260.35475,29.81420353
09-02-2016,0,335,5277410,0.46485,39705,10233.90544,23.0626105
10-02-2016,0,352,5097630,0.480424,52572,10090.49162,23.56180717
11-02-2016,0,524,5260650,0.516381,227183,10288.28178,33.77198515
12-02-2016,0,539,5688740,0.612499,173507,10069.52141,39.21412663
13-02-2016,0,453,6657360,0.804311,1044850,9936.997318,24.39242437
14-02-2016,0,1085,8863020,0.846403,564309,10085.07865,104.3756895
15-02-2016,0,744,9108640,0.791647,450366,10280.20677,52.91028688
16-02-2016,0,837,8732960,0.935744,846371,9906.317126,46.59827843
17-02-2016,0,882,10508400,0.733156,623116,10029.25047,72.15523708
18-02-2016,0,724,8088710,0.774533,220495,10114.46795,50.58879483
19-02-2016,0,460,8569200,0.819088,199937,9897.65572,30.86320955
20-02-2016,0,477,9170240,0.824465,308919,9884.250482,31.82412835
21-02-2016,0,539,9108810,0.782148,180109,9674.669161,33.86748825
22-02-2016,0,645,8644680,0.77803,131583,10089.77395,32.55689581
23-02-2016,0,575,8659060,0.756528,81027,10036.93976,35.34916099
24-02-2016,0,470,8412300,0.801251,121771,9894.207234,27.90305876
25-02-2016,0,527,8966000,0.806427,234953,9691.192521,37.20886378
26-02-2016,0,518,8971020,0.813595,75396,10062.87291,34.07280722
27-02-2016,0,490,9136830,0.8297,101882,9829.449089,33.52295608
28-02-2016,0,492,9239080,0.870485,145400,9775.236303,37.30535803
29-02-2016,0,428,9709570,0.870503,136190,9702.439008,27.00040281
01-03-2016,0,615,9715260,0.847996,204620,9618.851654,35.84759761
02-03-2016,0,548,9459500,0.827633,127689,9933.089008,37.34095904
03-03-2016,0,492,9215560,1.09,782236,9657.904111,29.07933192
04-03-2016,0,861,12255400,1.1,822636,9902.662239,67.69139729
05-03-2016,0,1190,12335200,1.2,1150340,9750.75632,113.3569258
06-03-2016,0,1262,13405300,1.2,912620,9915.958891,100.1514562
07-03-2016,0,876,13540700,1.07,514730,9364.935892,63.79601692
08-03-2016,0,783,12128800,1.19,339627,10116.99565,67.75126843
09-03-2016,0,556,13340700,1.24,826080,9687.319822,45.21748418
10-03-2016,0,645,14035500,1.09,437740,9734.677708,44.39206073
11-03-2016,0,622,12350800,1.1,134947,9702.118273,40.65415404
12-03-2016,0,470,12375400,1.15,332215,9922.592478,30.21591798
13-03-2016,0,485,13009500,1.24,276132,9725.919,32.02777376
14-03-2016,0,582,13996400,1.12,195842,9346.274806,46.37237487
15-03-2016,0,758,12636200,1.14,221688,9676.369026,38.58307969
16-03-2016,0,664,12879300,1.15,156281,9609.05374,49.84718631
17-03-2016,0,529,12979400,1.3,510610,9918.334255,28.78824152
18-03-2016,0,471,14849600,1.15,408786,9409.311989,27.99109465
19-03-2016,0,788,13006700,1.21,273033,9771.248489,65.83175917
20-03-2016,0,644,13655000,1.52,979776,9809.429685,51.93987983
21-03-2016,0,817,17283300,1.49,819654,9526.460929,73.44516649
22-03-2016,0,745,16789700,1.39,601296,9276.79348,53.50279768
23-03-2016,0,833,15365800,1.45,439967,9548.879525,68.55313695
24-03-2016,0,561,16565500,1.7,1231660,8365.383695,55.40002738
25-03-2016,0,532,19285200,1.6,742739,10218.37884,81.84808076
26-03-2016,0,794,18282700,1.7,505566,11004.66162,118.9920636
27-03-2016,0,662,19298200,1.53,981701,9874.409855,103.9152379
28-03-2016,0,736,17537000,1.49,591183,9565.703182,104.8652081
29-03-2016,0,565,17031100,1.49,324528,10050.51211,64.83839563
30-03-2016,0,546,16984700,1.45,324062,8848.386192,62.9902655
31-03-2016,0,654,16467000,1.4,197875,9691.219922,57.08776224
01-04-2016,0,632,16163900,1.46,353597,9136.614544,78.47816355
02-04-2016,0,387,16776400,1.55,438901,9884.474384,28.98394125
03-04-2016,0,838,17571800,1.54,255047,9383.419958,205.2990151
04-04-2016,0,537,17833100,1.6,296207,9586.071446,59.41234396
05-04-2016,0,506,18159400,1.52,404485,10040.38975,43.22023408
06-04-2016,0,542,17481400,1.51,253803,9339.175711,39.55702773
07-04-2016,0,432,17377700,1.5,293003,8916.880802,37.41337774
08-04-2016,0,439,17391700,1.24,535958,8563.793277,35.20971787
09-04-2016,0,428,14502600,1.13,937009,10370.5054,42.7809276
10-04-2016,0,531,13205500,1.1,1270300,9143.133141,45.8504559
11-04-2016,0,521,12947200,1.02,307904,9343.028982,42.70829374
12-04-2016,0,482,11826700,0.955986,607158,8816.245336,52.14454212
13-04-2016,0,461,10937600,1.03,411783,9579.407352,39.88189745
14-04-2016,0,432,11927900,1.01,199039,9933.929245,31.08531214
15-04-2016,0,579,11676400,0.990145,366008,8558.284608,99.57154202
16-04-2016,0,512,11497200,0.977983,111910,9292.974917,70.71731128
17-04-2016,0,385,11365600,1.04,306365,9696.444324,38.88287891
18-04-2016,0,463,12039000,1.11,294792,9432.801109,71.32873272
19-04-2016,0,383,12966100,1.11,279257,9463.380951,33.46684866
20-04-2016,0,387,12979400,1.06,317076,9409.010949,37.43844829
21-04-2016,0,418,12296600,0.977233,217840,9268.14578,34.92503599
22-04-2016,0,392,11296200,0.980429,142996,9678.378906,39.2130456
23-04-2016,0,378,11414300,1.04,111624,9461.266844,35.51875633
24-04-2016,0,303,12074100,1.01,117386,9048.509132,28.38353415
25-04-2016,0,451,11946300,0.953362,209133,9319.371975,35.81483569
26-04-2016,0,364,11259900,0.884295,339835,9024.921885,30.47901463
27-04-2016,0,317,10469100,0.941531,300067,9217.84685,28.67447627
28-04-2016,0,478,11056500,0.904794,98147,8729.931357,44.49757119
29-04-2016,0,447,10610600,0.883684,101368,9309.233837,34.98664917
30-04-2016,0,511,10370200,0.916537,127183,9736.483392,49.23369867
01-05-2016,0,315,10770300,0.914293,64193,9652.017239,28.55911159
02-05-2016,0,265,10712600,0.964395,212997,8720.766452,23.35056435
03-05-2016,0,507,11338900,0.908237,103842,9053.277824,37.4038005
04-05-2016,0,322,10803000,0.916455,102053,9028.561793,26.91412693
05-05-2016,0,363,10799800,0.906841,76568,9624.93622,33.58321506
06-05-2016,0,381,10696600,0.877466,71046,9050.712696,33.8059097
07-05-2016,0,312,10350800,0.880058,110546,8646.751363,29.96423684
08-05-2016,0,302,10400200,0.850586,76975,9574.294309,25.37734839
09-05-2016,0,362,10032500,0.825393,91542,9117.847498,29.34265258
10-05-2016,0,366,9770550,0.829463,134752,8688.790124,29.42670112
11-05-2016,0,379,9812260,0.85971,51107,9194.50621,29.72302273
12-05-2016,0,374,10187100,0.875668,88976,8915.511595,37.41056176
13-05-2016,0,376,10381100,0.847763,66386,8953.572536,43.18707909
14-05-2016,0,375,10051600,0.838895,27725,9180.416023,47.15886511
15-05-2016,0,275,9941400,0.823823,56531,9016.474556,32.27898567
16-05-2016,0,443,9796400,0.818356,107300,9442.999152,38.77448189
17-05-2016,0,464,9700450,0.813343,125123,9024.028513,71.1650516
18-05-2016,0,357,9638580,0.840542,214210,8805.634535,34.72321081
19-05-2016,0,315,9963010,0.853595,139069,8682.288291,31.37716392
20-05-2016,0,428,10180100,0.942222,314964,8943.673109,36.72787594
21-05-2016,0,415,11148000,0.975433,115767,9117.325409,42.44258198
22-05-2016,0,424,11561800,0.938764,194865,8743.802015,43.08843974
23-05-2016,0,435,11125300,0.91473,120334,9003.675486,37.99623312
24-05-2016,0,321,10932800,0.901127,220308,8846.109866,28.65529695
25-05-2016,0,311,10758600,0.865887,87610,8796.892953,37.20455512
26-05-2016,0,497,10366800,0.860175,100025,8675.052034,76.68147364
27-05-2016,0,321,10306700,0.859091,151612,9056.498264,26.76533823
28-05-2016,0,486,10333800,0.919737,174774,8170.41582,69.27945092
29-05-2016,0,361,11139000,0.881719,188141,9253.229083,29.78931711
30-05-2016,0,358,10573600,0.910537,66482,8905.016858,57.60012806
31-05-2016,0,491,10932000,0.928747,156718,8638.761545,56.82436112
01-06-2016,0,397,11234300,0.914871,105338,9227.626073,42.89763985
02-06-2016,0,644,10992500,0.92668,39987,8256.687128,78.90861264
03-06-2016,0,355,11159300,0.945202,74145,9361.788447,31.00877858
04-06-2016,0,359,11340400,0.974353,91404,8787.138857,28.08564437
05-06-2016,0,348,11742600,1,87680,8419.998467,36.33963065
06-06-2016,0,480,12135000,1.01,89836,9260.539956,37.19167123
07-06-2016,0,397,12082300,1.01,86376,8275.403159,41.73697396
08-06-2016,0,304,12232100,0.999952,70837,8737.707339,26.70601466
09-06-2016,0,396,12029500,1.11,483161,9223.986247,34.57795183
10-06-2016,0,383,13495300,1.15,267163,8700.113304,39.22284948
11-06-2016,0,359,13832200,1.14,207863,8364.642595,30.97579796
12-06-2016,0,542,13806400,1.25,285841,8787.172519,37.01450726
13-06-2016,0,389,15197600,1.28,276844,8966.856012,40.39541257
14-06-2016,0,531,15568200,1.39,268605,8749.736874,50.25618465
15-06-2016,0,408,16664500,1.46,334636,8617.045006,37.86529436
16-06-2016,0,525,17829600,1.58,349747,8507.535256,65.37678474
17-06-2016,0,587,19121000,1.75,643511,8500.074896,67.61739689
18-06-2016,0,471,21492400,2.01,2663250,8951.692812,51.36066381
19-06-2016,0,902,24740500,1.87,663871,8315.188584,95.71888405
20-06-2016,0,623,22717200,1.83,570846,8857.768513,52.84792984
21-06-2016,0,554,22278200,1.61,543359,8488.400902,53.50521908
22-06-2016,0,538,19621200,1.5,376492,8346.126451,46.38249515
23-06-2016,0,464,18208400,1.56,198638,8701.216302,40.62868908
24-06-2016,0,432,19077300,1.59,241911,8203.388573,35.88448286
25-06-2016,0,383,19305300,1.55,168083,9045.996085,35.82929488
26-06-2016,0,412,19071300,1.48,75189,8205.114074,33.5064258
27-06-2016,0,373,18138600,1.48,184373,8454.922018,29.36954354
28-06-2016,0,450,18129100,1.49,173566,8618.84547,35.02892967
29-06-2016,0,531,18335500,1.55,314944,8371.459801,49.36176759
30-06-2016,0,505,18945900,1.61,232728,8969.700563,50.11261606
01-07-2016,0,473,19525900,1.66,148728,8255.265965,37.65231459
02-07-2016,0,418,20444700,1.75,228270,8337.545256,35.05851579
03-07-2016,0,497,21541800,1.7,326072,8630.069428,36.75323151
04-07-2016,0,578,20912300,1.71,151474,8841.587209,45.96381736
05-07-2016,0,464,21078100,1.73,154989,8746.376392,46.0854382
06-07-2016,0,491,21273100,1.94,510090,8232.591865,39.02208896
07-07-2016,0,697,23934100,1.9,1565910,8340.920164,65.11038928
08-07-2016,0,729,23471600,1.98,433750,8867.793735,71.72931937
09-07-2016,0,546,24528700,1.96,307833,8491.059549,57.71416994
10-07-2016,0,429,24175800,1.91,224404,7966.802064,35.66931518
11-07-2016,0,416,23651500,1.98,213005,8788.928648,37.92557778
12-07-2016,0,573,24548500,1.99,347642,8060.715872,41.7143388
13-07-2016,0,525,24510200,1.93,294296,8510.892477,44.11307683
14-07-2016,0,545,24010100,2.01,172552,8037.194047,42.24005349
15-07-2016,0,430,24905300,1.99,189098,8823.296601,36.64483314
16-07-2016,0,412,24821700,1.98,69994,8360.597347,39.83057707
17-07-2016,0,418,24567700,1.99,167463,8131.630643,26.94725749
18-07-2016,0,461,24730000,1.95,108747,7776.15564,37.82630044
19-07-2016,0,465,24268200,1.9,206251,8922.870675,45.84827043
20-07-2016,0,419,23690500,1.76,368224,7972.219943,32.78471101
21-07-2016,0,484,22060100,1.74,143002,8383.992848,35.03583001
22-07-2016,0,525,21524900,1.83,183573,8144.106263,43.86247791
