date,txVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),generatedCoins,fees
08-08-2014,0,1525,5636120,2.18,87502,20980.31934,11.11400876
09-08-2014,0,1614,5760020,2.1,72351,22056.34224,12.01437895
10-08-2014,0,1645,5482750,2.06,80847,22092.30679,12.05648816
11-08-2014,0,1533,5505760,2.08,132234,19784.47365,11.40254363
12-08-2014,0,1953,5649600,2,114580,22839.52895,14.68482903
13-08-2014,0,1905,5465790,1.9,89506,21243.117,13.99974433
14-08-2014,0,1695,5280750,1.76,99815,21769.05948,12.65484217
15-08-2014,0,1961,4932750,1.59,182760,20445.18096,15.02241813
16-08-2014,0,1641,4413540,1.6,82703,21791.43682,21.5679679
17-08-2014,0,1589,4447240,1.46,72244,21133.39371,14.48147401
18-08-2014,0,1597,4074930,1.45,108222,20891.39561,11.6749494
19-08-2014,0,1787,4013520,1.65,98273,21660.22231,14.25368534
20-08-2014,0,1804,4795780,1.83,286655,21086.96897,13.9344701
21-08-2014,0,2354,5337170,1.82,141302,21121.36538,17.1045394
22-08-2014,0,1855,5331550,1.78,118268,21788.16413,13.82107906
23-08-2014,0,1902,5236920,1.81,81316,21429.29698,13.99556852
24-08-2014,0,3255,5377400,1.95,113086,21058.85832,28.45253271
25-08-2014,0,2708,5843100,2.05,179315,21902.42515,64.10805613
26-08-2014,0,1688,6291750,2.01,191411,20644.54572,100.7735916
27-08-2014,0,1308,6098760,2.01,125364,21358.01119,98.95656184
28-08-2014,0,1129,6110120,2.21,246829,20292.74738,80.88677271
29-08-2014,0,1294,6708610,2.21,219724,21532.25466,90.99220607
30-08-2014,0,1244,6832530,2.44,270668,21284.0968,82.72217929
31-08-2014,0,1330,7577360,2.17,308396,21341.5675,97.7308463
01-09-2014,0,1387,6827450,2.04,268279,20028.07841,110.0062165
02-09-2014,0,1258,6464120,1.96,218797,21031.0738,98.01799628
03-09-2014,0,1205,6205680,2.03,153437,20600.61717,109.3200243
04-09-2014,0,2856,6507160,2.05,186620,20369.16704,276.2735492
05-09-2014,0,1967,6595670,1.98,168193,21126.99072,135.9073816
06-09-2014,0,893,6411200,1.95,120274,20900.61846,88.22855131
07-09-2014,0,885,6324720,1.88,151671,20934.30825,94.3216161
08-09-2014,0,888,6166130,1.87,158829,21386.71624,98.93492324
09-09-2014,0,911,6200410,1.77,129058,19860.47139,97.06086307
10-09-2014,0,962,5876080,1.97,280005,20654.86672,109.4881804
11-09-2014,0,1158,6583810,1.94,173065,20318.08113,126.0889025
12-09-2014,0,1058,6544780,1.88,166282,20567.23871,115.4142442
13-09-2014,0,947,6365210,1.85,156820,20913.99209,101.7928909
14-09-2014,0,837,6308010,1.82,123269,20799.72759,96.11841103
15-09-2014,0,804,6241990,1.9,132403,21156.86806,95.85468574
16-09-2014,0,912,6557510,1.84,149855,19652.52718,101.2114115
17-09-2014,0,1090,6389740,1.77,291633,20656.35424,119.8805819
18-09-2014,0,1045,6076160,1.57,253082,20041.50035,117.1415267
19-09-2014,0,958,5503840,1.45,171739,20202.08444,108.0877489
20-09-2014,0,942,5094260,1.27,362626,20653.74966,109.625167
21-09-2014,0,868,4502750,1.27,239591,20657.9505,107.9979113
22-09-2014,0,1118,4552650,1.26,137822,19527.50327,129.9177644
23-09-2014,0,883,4526380,1.47,205229,19832.16782,94.41906184
24-09-2014,0,1006,5285770,1.51,122748,20519.7304,108.1025569
25-09-2014,0,622,5441180,1.4,126179,20139.16269,53.35554528
26-09-2014,0,884,5104450,1.39,81632,19983.81179,88.22937063
27-09-2014,0,674,5082540,1.31,95657,21162.85811,76.21861166
28-09-2014,0,633,4821140,1.22,84413,19562.32754,76.52009825
29-09-2014,0,796,4533030,1.15,83902,20034.29645,97.81858724
30-09-2014,0,769,4344950,1.22,82094,20455.57909,96.57692851
01-10-2014,0,786,4536570,1.2,65140,20749.85829,96.3408938
02-10-2014,0,817,4588330,1.19,61824,20015.82222,98.63500987
03-10-2014,0,653,4493740,1.1,113844,19331.19902,91.70391198
04-10-2014,0,706,4166030,0.977628,65894,19940.38618,87.30716224
05-10-2014,0,642,3745430,0.879503,86073,19922.23503,77.82367076
06-10-2014,0,685,3385660,0.979703,65377,19968.86253,79.088924
07-10-2014,0,635,3797610,1,68252,20067.68885,114.3695497
08-10-2014,0,659,3906930,1.09,116352,19729.14245,76.89432836
09-10-2014,0,732,4255220,1.11,66785,19808.07932,84.35162875
10-10-2014,0,688,4343870,1.14,121420,19934.9953,80.59200543
11-10-2014,0,826,4499020,1.08,81876,19913.20813,98.1050705
12-10-2014,0,578,4280260,1.09,58972,19966.4528,70.08748331
13-10-2014,0,606,4324230,1.1,92059,19210.48486,69.12509231
14-10-2014,0,706,4406300,1.07,63787,19782.83658,79.88424259
15-10-2014,0,650,4365480,0.990811,104550,19306.33288,79.43769629
16-10-2014,0,611,3997770,0.999458,59154,19775.32772,74.69375423
17-10-2014,0,527,4064590,0.973198,63034,19185.78975,108.7671822
18-10-2014,0,580,3981500,0.96583,60842,19699.4422,69.22460628
19-10-2014,0,498,3968000,0.994436,47858,19989.42005,60.07959114
20-10-2014,0,571,4110980,0.950394,86281,19328.80296,70.97825808
21-10-2014,0,707,3949060,0.957783,50963,19065.6485,79.36976359
22-10-2014,0,592,3987300,0.946716,63727,18988.70131,69.69565559
23-10-2014,0,701,3944870,0.865496,97124,19438.44251,84.82857724
24-10-2014,0,688,3541880,0.762157,52867,19821.31279,82.46042509
25-10-2014,0,629,3227940,0.739802,54596,19855.26745,78.48564639
26-10-2014,0,670,3142310,0.694402,37577,18854.04057,83.9603454
27-10-2014,0,626,2974520,0.722831,141319,18940.60195,77.4960144
28-10-2014,0,909,3016260,0.689257,82389,18853.94262,112.610636
29-10-2014,0,608,2958330,0.63306,23967,18630.36679,73.85574513
30-10-2014,0,690,2731100,0.614064,48427,19770.64535,88.9085662
31-10-2014,0,562,2663690,0.607218,37303,19416.01373,73.90408564
01-11-2014,0,535,2647220,0.585832,33872,19771.45951,69.58517027
02-11-2014,0,446,2568260,0.579494,26877,19343.738,57.74151257
03-11-2014,0,449,2541950,0.576323,40900,18841.9877,61.15335195
04-11-2014,0,580,2543340,0.547635,42253,18434.9983,75.87262091
05-11-2014,0,561,2430850,0.571982,25458,19511.0796,73.37975502
06-11-2014,0,538,2540200,0.595903,28528,18049.94322,69.44159864
07-11-2014,0,575,2626730,0.616295,29987,20633.91279,74.87884299
08-11-2014,0,535,2785880,0.643877,40713,19471.05933,63.16240086
09-11-2014,0,517,2903700,0.721369,44247,17149.00657,64.64874485
10-11-2014,0,607,3246790,0.735697,67836,18698.38174,77.02706996
11-11-2014,0,693,3341990,0.717955,30147,19739.29013,88.73862309
12-11-2014,0,533,3282510,0.73232,75047,18273.96575,69.43398928
13-11-2014,0,1034,3374860,0.70453,41143,19084.7755,91.8244581
14-11-2014,0,868,3227210,0.689225,65338,18694.5554,67.45018291
15-11-2014,0,811,3202520,0.641145,31336,19752.33638,57.31767315
16-11-2014,0,796,2967190,0.654531,27107,18486.88067,58.20915275
17-11-2014,0,755,3039770,0.58478,152764,18487.1926,53.49081228
18-11-2014,0,715,2744180,0.599073,49912,18917.98326,70.06186634
19-11-2014,0,766,2806170,0.559003,25761,18670.38198,57.23827891
20-11-2014,0,521,2636230,0.525171,23232,18753.46974,48.04882571
21-11-2014,0,520,2449300,0.53249,34458,18365.72988,41.47885616
22-11-2014,0,656,2538420,0.534829,26877,19030.97297,50.32474772
23-11-2014,0,587,2557650,0.526897,31247,18472.44113,40.16893757
24-11-2014,0,687,2521740,0.53174,29694,18666.98041,48.69632852
25-11-2014,0,773,2558050,0.595471,84303,18183.8849,59.08752856
26-11-2014,0,1103,2814430,0.562741,29237,19096.72953,97.42923013
27-11-2014,0,928,2718540,0.55754,10861,18232.76916,75.05642946
28-11-2014,0,1176,2711830,0.564761,17670,18570.2797,108.8027612
29-11-2014,0,788,2757520,0.565711,17081,18681.28105,61.17501106
30-11-2014,0,663,2795300,0.567552,14933,18994.58243,49.01702756
01-12-2014,0,781,2778070,0.4745,78718,17406.67963,67.90497233
02-12-2014,0,780,2340440,0.527409,21322,17945.70176,64.43653133
